fbref_name,whoscored_name,team,season_id,trgm_similarity,jaro_winkler,token_sort,working_confidence,match_hint
Aaron Meijers,Aaron Meijers,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Danny Holla,Danny Holla,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Wilfried Kanon,Wilfried Kanon,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Christian Supusepa,Christian Supusepa,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Martijn de Zwart,Martijn de Zwart,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Papito Merencia,Papito Merencia,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Robin Buwalda,Robin Buwalda,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Kevin Jansen,Kevin Jansen,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Malcolm Esajas,Malcolm Esajas,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Ninos Gouriye,Ninos Gouriye,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Michiel Kramer,Michiel Kramer,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Gino Coutinho,Gino Coutinho,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Jerson Cabral,Jerson Cabral,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Ricky van Haaren,Ricky van Haaren,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Vito Wormgoor,Vito Wormgoor,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Yanic Wildschut,Yanic Wildschut,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Dion Malone,Dion Malone,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Mike van Duinen,Mike van Duinen,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Mathias Gehrt,Mathias Gehrt,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Danny Bakker,Danny Bakker,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Tom Beugelsdijk,Tom Beugelsdijk,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Robert Zwinkels,Robert Zwinkels,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Roland Alberg,Roland Alberg,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Mitchell Schet,Mitchell Schet,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Gianni Zuiverloon,Gianni Zuiverloon,ADO Den Haag,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Toby Alderweireld,Toby Alderweireld,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
Stefano Denswil,Stefano Denswil,Ajax,2013,1.0,1.0,1.0,1.0,exact_after_normalize
