fbref_name,whoscored_name,team,season_id,trgm_similarity,jaro_winkler,token_sort,working_confidence,match_hint,decision,notes
Amourrichio van Axel Dongen,Amourricho van Axel Dongen,Ajax,2021,0.8276,0.9926,0.9811,0.9811,same_surname_diff_given_name,,
Amourrichio van Axel Dongen,Amourricho van Axel Dongen,Ajax,2023,0.8276,0.9926,0.9811,0.9811,same_surname_diff_given_name,,
Mohamed El Hankouri,Mohammed El Hankouri,Feyenoord,2016,0.8636,0.99,0.9744,0.9744,same_surname_diff_given_name,,
Vyacheslav Karavayev,Vyacheslav Karavaev,Vitesse,2017,0.7826,0.99,0.9744,0.9744,same_given_name_diff_surname,,
Mohamed El Hankouri,Mohammed El Hankouri,Willem II,2017,0.8636,0.99,0.9744,0.9744,same_surname_diff_given_name,,
Mohamed El Hankouri,Mohammed El Hankouri,Feyenoord,2018,0.8636,0.99,0.9744,0.9744,same_surname_diff_given_name,,
Vyacheslav Karavayev,Vyacheslav Karavaev,Vitesse,2018,0.7826,0.99,0.9744,0.9744,same_given_name_diff_surname,,
Vyacheslav Karavayev,Vyacheslav Karavaev,Vitesse,2019,0.7826,0.99,0.9744,0.9744,same_given_name_diff_surname,,
Mohammed Ihattaren,Mohamed Ihattaren,PSV,2018,0.85,0.9889,0.9714,0.9714,same_surname_diff_given_name,,
Mohammed Ihattaren,Mohamed Ihattaren,PSV,2019,0.85,0.9889,0.9714,0.9714,same_surname_diff_given_name,,
Mohammed Ihattaren,Mohamed Ihattaren,PSV,2020,0.85,0.9889,0.9714,0.9714,same_surname_diff_given_name,,
Leftheris Lyratzis,Lefteris Lyratzis,NEC Nijmegen,2024,0.7368,0.9889,0.9714,0.9714,same_surname_diff_given_name,,
Mohammed Ihattaren,Mohamed Ihattaren,RKC Waalwijk,2024,0.85,0.9889,0.9714,0.9714,same_surname_diff_given_name,,
Mohammed Ihattaren,Mohamed Ihattaren,Fortuna Sittard,2025,0.85,0.9889,0.9714,0.9714,same_surname_diff_given_name,,
Illai Grootfaam,Ilai Grootfaam,Feyenoord,2025,0.8235,0.9822,0.9655,0.9655,same_surname_diff_given_name,,
Mitchell Paulissen,Mitchel Paulissen,Cambuur,2021,0.85,0.9654,0.9714,0.9654,same_surname_diff_given_name,,
Mitchell Paulissen,Mitchel Paulissen,Cambuur,2022,0.85,0.9654,0.9714,0.9654,same_surname_diff_given_name,,
Dries Saddiki,Driess Saddiki,Willem II,2018,0.8125,0.9703,0.963,0.963,same_surname_diff_given_name,,
Dries Saddiki,Driess Saddiki,Willem II,2019,0.8125,0.9703,0.963,0.963,same_surname_diff_given_name,,
Dries Saddiki,Driess Saddiki,Willem II,2020,0.8125,0.9703,0.963,0.963,same_surname_diff_given_name,,
Dries Saddiki,Driess Saddiki,Willem II,2021,0.8125,0.9703,0.963,0.963,same_surname_diff_given_name,,
Gani Büyükhan,Ganni Buyukhan,Fortuna Sittard,2025,0.381,0.9833,0.963,0.963,same_surname_diff_given_name,,
Dimitris Siovas,Dimitrios Siovas,Fortuna Sittard,2021,0.7368,0.9608,0.9677,0.9608,same_surname_diff_given_name,,
Dimitris Siovas,Dimitrios Siovas,Fortuna Sittard,2022,0.7368,0.9608,0.9677,0.9608,same_surname_diff_given_name,,
Dimitris Siovas,Dimitrios Siovas,Fortuna Sittard,2023,0.7368,0.9608,0.9677,0.9608,same_surname_diff_given_name,,
Llazaros Rota,Lazaros Rota,Fortuna Sittard,2019,0.8,0.9769,0.96,0.96,substring_match,,
Llazaros Rota,Lazaros Rota,Fortuna Sittard,2020,0.8,0.9769,0.96,0.96,substring_match,,
Llazaros Rota,Lazaros Rota,Fortuna Sittard,2021,0.8,0.9769,0.96,0.96,substring_match,,
Joshua John,Josua John,Twente,2013,0.5833,0.9788,0.9524,0.9524,same_surname_diff_given_name,,
Joshua John,Josua John,VVV-Venlo,2020,0.5833,0.9788,0.9524,0.9524,same_surname_diff_given_name,,
Armel Bella Kotchap,Armel Bella-Kotchap,PSV,2023,1.0,0.9789,0.9474,0.9474,same_given_name_diff_surname,,
Albert Guðmundsson,Albert Gudmundsson,PSV,2017,0.7273,0.9542,0.9444,0.9444,same_given_name_diff_surname,,
