fbref_name,whoscored_name,team,season_id,trgm_similarity,jaro_winkler,token_sort,working_confidence,match_hint,decision,notes
Klaas-Jan Huntelaar,Klaas Jan Huntelaar,Ajax,2017,1.0,0.9567,0.7895,0.7895,same_surname_diff_given_name,match,hyphen
Klaas-Jan Huntelaar,Klaas Jan Huntelaar,Ajax,2018,1.0,0.9567,0.7895,0.7895,same_surname_diff_given_name,match,hyphen
Klaas-Jan Huntelaar,Klaas Jan Huntelaar,Ajax,2019,1.0,0.9567,0.7895,0.7895,same_surname_diff_given_name,match,hyphen
Klaas-Jan Huntelaar,Klaas Jan Huntelaar,Ajax,2020,1.0,0.9567,0.7895,0.7895,same_surname_diff_given_name,match,hyphen
Jerry St. Juste,Jeremiah St. Juste,Heerenveen,2014,0.55,0.9041,0.7879,0.7879,same_surname_diff_given_name,,
Jerry St. Juste,Jeremiah St. Juste,Heerenveen,2015,0.55,0.9041,0.7879,0.7879,same_surname_diff_given_name,,
Jerry St. Juste,Jeremiah St. Juste,Heerenveen,2016,0.55,0.9041,0.7879,0.7879,same_surname_diff_given_name,,
Jerry St. Juste,Jeremiah St. Juste,Feyenoord,2017,0.55,0.9041,0.7879,0.7879,same_surname_diff_given_name,match,nickname
Luis Manuel Orejuela,Luis Orejuela,Ajax,2017,0.7,0.8838,0.7879,0.7879,given_and_surname_match_extra_middle_token,match,Middle name
Jerry St. Juste,Jeremiah St. Juste,Feyenoord,2018,0.55,0.9041,0.7879,0.7879,same_surname_diff_given_name,match,nickname
Jerry St. Juste,Jeremiah St. Juste,Feyenoord,2019,0.55,0.9041,0.7879,0.7879,same_surname_diff_given_name,match,nickname
João Carlos Teixeira,João Teixeira,Feyenoord,2020,0.6667,0.8685,0.7879,0.7879,given_and_surname_match_extra_middle_token,match,Middle name
João Carlos Teixeira,João Teixeira,Feyenoord,2021,0.6667,0.8685,0.7879,0.7879,given_and_surname_match_extra_middle_token,match,Middle name
Peter Vindahl Jensen,Peter Vindahl,AZ,2021,0.6667,0.93,0.7879,0.7879,substring_match,,
Terry Lartey Sanniez,Terry Sanniez,NEC Nijmegen,2022,0.6667,0.8992,0.7879,0.7879,given_and_surname_match_extra_middle_token,match,Middle name
Jerry St. Juste,Jeremiah St. Juste,Feyenoord,2025,0.55,0.9041,0.7879,0.7879,same_surname_diff_given_name,match,nickname
Quinten Timber,Jurriën Timber,Ajax,2020,0.3043,0.7965,0.7857,0.7857,same_surname_diff_given_name,No match,brothers
Sékou Oumar Sylla,Sékou Sylla,Cambuur,2021,0.6471,0.893,0.7857,0.7857,given_and_surname_match_extra_middle_token,match,Middle name
Sékou Oumar Sylla,Sékou Sylla,Cambuur,2022,0.6471,0.893,0.7857,0.7857,given_and_surname_match_extra_middle_token,match,Middle name
Chris Nadje,Chris-Kévin Nadje,Feyenoord,2024,0.6667,0.893,0.7857,0.7857,same_surname_diff_given_name,match,Full first name
Chris Nadje,Chris-Kévin Nadje,Excelsior,2025,0.6667,0.893,0.7857,0.7857,same_surname_diff_given_name,match,Full first name
Abdul Jeleel Ajagun,Abdul Ajagun,Roda JC,2016,0.6316,0.9096,0.7742,0.7742,given_and_surname_match_extra_middle_token,,
Kwasi Okyere Wriedt,Kwasi Wriedt,Willem II,2020,0.65,0.9096,0.7742,0.7742,given_and_surname_match_extra_middle_token,match,Middle name
Joel Castro Pereira,Joel Pereira,RKC Waalwijk,2021,0.65,0.8763,0.7742,0.7742,given_and_surname_match_extra_middle_token,match,Middle name
Kwasi Okyere Wriedt,Kwasi Wriedt,Willem II,2021,0.65,0.9096,0.7742,0.7742,given_and_surname_match_extra_middle_token,match,Middle name
Joel Castro Pereira,Joel Pereira,RKC Waalwijk,2022,0.65,0.8763,0.7742,0.7742,given_and_surname_match_extra_middle_token,match,Middle name
Jaydon Amauri Banel,Jaydon Banel,Ajax,2023,0.65,0.9096,0.7742,0.7742,given_and_surname_match_extra_middle_token,match,Middle name
Jaydon Amauri Banel,Jaydon Banel,Ajax,2024,0.65,0.9096,0.7742,0.7742,given_and_surname_match_extra_middle_token,match,Middle name
Simon Graves Jensen,Simon Graves,PEC Zwolle,2024,0.65,0.9263,0.7742,0.7742,substring_match,,
Simon Graves Jensen,Simon Graves,PEC Zwolle,2025,0.65,0.9263,0.7742,0.7742,substring_match,,
Thomas Bruns,Thomas Buitink,Vitesse,2017,0.4,0.9095,0.7692,0.7692,same_given_name_diff_surname,No match,Different people - verified thru age
Thomas Buitink,Thomas Bruns,Vitesse,2017,0.4,0.9095,0.7692,0.7692,same_given_name_diff_surname,No match,Different people - verified thru age
Thomas Bruns,Thomas Buitink,Vitesse,2018,0.4,0.9095,0.7692,0.7692,same_given_name_diff_surname,No match,Different people - verified thru age
Thomas Buitink,Thomas Bruns,Vitesse,2018,0.4,0.9095,0.7692,0.7692,same_given_name_diff_surname,No match,Different people - verified thru age
Thomas Bruns,Thomas Buitink,Vitesse,2020,0.4,0.9095,0.7692,0.7692,same_given_name_diff_surname,No match,Different people - verified thru age
Thomas Buitink,Thomas Bruns,Vitesse,2020,0.4,0.9095,0.7692,0.7692,same_given_name_diff_surname,No match,Different people - verified thru age
Jochem van de Kamp,Jochem Ritmeester van de Kamp,Almere City,2023,0.6333,0.8797,0.766,0.766,given_and_surname_match_extra_middle_token,,
Jochem van de Kamp,Jochem Ritmeester van de Kamp,Almere City,2024,0.6333,0.8797,0.766,0.766,given_and_surname_match_extra_middle_token,,
Jochem van de Kamp,Jochem Ritmeester van de Kamp,Telstar,2025,0.6333,0.8797,0.766,0.766,given_and_surname_match_extra_middle_token,match,Middle name
Christian Eriksen,Christian Poulsen,Ajax,2013,0.5,0.8905,0.7647,0.7647,same_given_name_diff_surname,No match,Different people - verified thru age
Christian Poulsen,Christian Eriksen,Ajax,2013,0.5,0.8905,0.7647,0.7647,same_given_name_diff_surname,No match,Different people - verified thru age
Aliou Badara Baldé,Aliou Balde,Feyenoord,2020,0.5263,0.904,0.7586,0.7586,given_and_surname_match_extra_middle_token,match,Middle name
Aliou Badara Baldé,Aliou Balde,Feyenoord,2021,0.5263,0.904,0.7586,0.7586,given_and_surname_match_extra_middle_token,match,Middle name
Eric Botteghin,Eric Fernando Botteghin,Groningen,2015,0.625,0.8646,0.7568,0.7568,given_and_surname_match_extra_middle_token,,
Eric Botteghin,Eric Fernando Botteghin,Feyenoord,2015,0.625,0.8646,0.7568,0.7568,given_and_surname_match_extra_middle_token,match,Middle name
Eric Botteghin,Eric Fernando Botteghin,Feyenoord,2016,0.625,0.8646,0.7568,0.7568,given_and_surname_match_extra_middle_token,match,Middle name
Eric Botteghin,Eric Fernando Botteghin,Feyenoord,2017,0.625,0.8646,0.7568,0.7568,given_and_surname_match_extra_middle_token,match,Middle name
Eric Botteghin,Eric Fernando Botteghin,Feyenoord,2018,0.625,0.8646,0.7568,0.7568,given_and_surname_match_extra_middle_token,match,Middle name
Eric Botteghin,Eric Fernando Botteghin,Feyenoord,2019,0.625,0.8646,0.7568,0.7568,given_and_surname_match_extra_middle_token,match,Middle name
Eric Botteghin,Eric Fernando Botteghin,Feyenoord,2020,0.625,0.8646,0.7568,0.7568,given_and_surname_match_extra_middle_token,match,Middle name
Abdel Malek El Hasnaoui,Abdelmalek El Hasnaoui,PEC Zwolle,2015,0.84,0.9549,0.7556,0.7556,same_surname_diff_given_name,,
Sander Thomas,Ryan Thomas,PEC Zwolle,2015,0.3684,0.8594,0.75,0.75,same_surname_diff_given_name,,
Ryan Thomas,Sander Thomas,PEC Zwolle,2015,0.3684,0.8594,0.75,0.75,same_surname_diff_given_name,,
Joey Veerman,Henk Veerman,Heerenveen,2020,0.4444,0.8333,0.75,0.75,same_surname_diff_given_name,,
Henk Veerman,Joey Veerman,Heerenveen,2020,0.4444,0.8333,0.75,0.75,same_surname_diff_given_name,,
Henk Veerman,Joey Veerman,Heerenveen,2021,0.4444,0.8333,0.75,0.75,same_surname_diff_given_name,,
