canonical_player_id,transfermarkt_player_id,canonical_name,transfermarkt_name,trgm_similarity,jaro_winkler,token_sort,working_confidence,match_hint,decision,notes
1713,704773,Amourrichio van Axel Dongen,Amourricho van Axel Dongen,0.8276,0.9926,0.9811,0.9811,same_surname_diff_given_name,,
1714,384587,Mohamed El Hankouri,Mohammed El Hankouri,0.8636,0.99,0.9744,0.9744,same_surname_diff_given_name,,
1715,170620,Vyacheslav Karavayev,Vyacheslav Karavaev,0.7826,0.99,0.9744,0.9744,same_given_name_diff_surname,,
1716,503638,Mohammed Ihattaren,Mohamed Ihattaren,0.85,0.9889,0.9714,0.9714,same_surname_diff_given_name,,
1717,390125,Leftheris Lyratzis,Lefteris Lyratzis,0.7368,0.9889,0.9714,0.9714,same_surname_diff_given_name,,
1734,554398,Vasileios Sourlis,Vasilios Sourlis,0.75,0.9882,0.9697,0.9697,same_surname_diff_given_name,,
649,244548,Andreas Calcan,Andreias Calcan,0.7222,0.9867,0.9655,0.9655,same_surname_diff_given_name,match,nickaname
1719,213671,Mitchell Paulissen,Mitchel Paulissen,0.85,0.9654,0.9714,0.9654,same_surname_diff_given_name,,
1052,468036,Dimitris Emmanouilidis,Dimitrios Emmanouilidis,0.84,0.964,0.9778,0.964,same_surname_diff_given_name,match,nickaname
1720,370042,Dries Saddiki,Driess Saddiki,0.8125,0.9703,0.963,0.963,same_surname_diff_given_name,,
1722,52403,Dimitris Siovas,Dimitrios Siovas,0.7368,0.9608,0.9677,0.9608,same_surname_diff_given_name,,
1723,483916,Llazaros Rota,Lazaros Rota,0.8,0.9769,0.96,0.96,substring_match,,
1780,464454,Stefán Ingi Sigurðarson,Stefán Ingi Sigurdarson,0.7692,0.9826,0.9565,0.9565,same_given_name_diff_surname,,
343,36802,Colin Kazim-Richards,Colin Kazım-Richards,0.75,0.9589,0.95,0.95,same_given_name_diff_surname,match,nickaname
1725,467563,Armel Bella Kotchap,Armel Bella-Kotchap,1.0,0.9789,0.9474,0.9474,same_given_name_diff_surname,,
