canonical_player_id,transfermarkt_player_id,canonical_name,transfermarkt_name,trgm_similarity,jaro_winkler,token_sort,working_confidence,match_hint,decision,notes
1242,369103,Anargyros Kampetsis,Argyris Kabetsis,0.3846,0.7978,0.8,0.7978,other,,
1677,331057,Luis Manuel Orejuela,Luis Orejuela,0.7,0.8838,0.7879,0.7879,given_and_surname_match_extra_middle_token,,
1678,288253,Jerry St. Juste,Jeremiah St. Juste,0.55,0.9041,0.7879,0.7879,same_surname_diff_given_name,,
23,124761,Roland Alberg,Roland Bergkamp,0.4286,0.9113,0.7857,0.7857,same_given_name_diff_surname,,
1301,420243,Quinten Timber,Jurriën Timber,0.3043,0.7965,0.7857,0.7857,same_surname_diff_given_name,,
1682,587333,Sékou Oumar Sylla,Sekou Sylla,0.4,0.893,0.7857,0.7857,given_and_surname_match_extra_middle_token,,
1683,1057565,Chris Nadje,Chris-Kévin Nadje,0.6667,0.893,0.7857,0.7857,same_surname_diff_given_name,,
1684,154819,Kwasi Okyere Wriedt,Kwasi Wriedt,0.65,0.9096,0.7742,0.7742,given_and_surname_match_extra_middle_token,,
1685,192611,Joel Castro Pereira,Joel Pereira,0.65,0.8763,0.7742,0.7742,given_and_surname_match_extra_middle_token,,
741,357826,Thomas Bruns,Thomas Buitink,0.4,0.9095,0.7692,0.7692,same_given_name_diff_surname,,
742,172202,Thomas Buitink,Thomas Bruns,0.4,0.9095,0.7692,0.7692,same_given_name_diff_surname,,
1687,865281,Jochem van de Kamp,Jochem Ritmeester van de Kamp,0.6333,0.8797,0.766,0.766,given_and_surname_match_extra_middle_token,,
35,1443,Christian Eriksen,Christian Poulsen,0.5,0.8905,0.7647,0.7647,same_given_name_diff_surname,,
36,69633,Christian Poulsen,Christian Eriksen,0.5,0.8905,0.7647,0.7647,same_given_name_diff_surname,,
1688,666977,Aliou Badara Baldé,Aliou Baldé,0.7059,0.904,0.7586,0.7586,given_and_surname_match_extra_middle_token,,
1217,271743,Joey Veerman,Henk Veerman,0.4444,0.8333,0.75,0.75,same_surname_diff_given_name,,
1319,265324,Oliver Edvardsen,Victor Edvardsen,0.4167,0.7738,0.75,0.75,same_surname_diff_given_name,,
1391,593862,Thomas van den Belt,Thomas Beelen,0.4167,0.8776,0.75,0.75,same_given_name_diff_surname,,
1392,412941,Thomas Beelen,Thomas van den Belt,0.4167,0.8776,0.75,0.75,same_given_name_diff_surname,,
1410,374326,Victor Edvardsen,Oliver Edvardsen,0.4167,0.7738,0.75,0.75,same_surname_diff_given_name,,
184,168172,Seydina Diarra,Bahnou Seydina Diarra,0.6818,0.746,0.8,0.746,substring_match,,
1278,503642,Daniël van Kaam,Joël van Kaam,0.5,0.7386,0.7857,0.7386,same_surname_diff_given_name,,
1052,565673,Dimitris Emmanouilidis,Dimitrios Ioannidis,0.3125,0.8982,0.7317,0.7317,other,,
1689,360711,Dauda Mohammed,Mo Dauda,0.5,0.7321,0.7273,0.7273,other,,
